Week,SKU,Region,Demand,Global Status,DNA Collection ,DNA Category ,DNA Sub Category ,DNA Metal ,DNA Material ,DNA Stones ,DNA Color ,DNA Size ,Date Item Introduced,Date Item Discontinue,Design Variation,Campaign Id,Theme Id,Theme Description,Year,Week_Number,Seasonality,Evolving State,Buckets
2019-W51,9557,0,294.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,51,2,1,2
2019-W52,9557,0,216.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,52,2,1,2
2019-W6,9557,0,56.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,6,1,1,2
2019-W7,9557,0,75.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,7,1,1,2
2019-W8,9557,0,72.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,8,0,1,2
2019-W9,9557,0,80.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2019,9,0,1,2
2020-W1,9557,0,162.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,1,1,1,2
2020-W10,9557,0,119.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,10,0,1,2
2020-W11,9557,0,64.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,11,0,1,2
2020-W12,9557,0,43.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,12,0,1,2
2020-W13,9557,0,18.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,13,0,1,2
2020-W14,9557,0,32.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,14,0,1,2
2020-W15,9557,0,41.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,15,0,1,2
2020-W16,9557,0,27.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,16,0,1,2
2020-W17,9557,0,43.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,17,1,1,2
2020-W18,9557,0,76.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,18,1,1,2
2020-W19,9557,0,105.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,19,1,1,2
2020-W2,9557,0,134.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,2,0,1,2
2020-W20,9557,0,73.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,20,1,1,2
2020-W21,9557,0,44.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,21,0,1,2
2020-W22,9557,0,82.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,22,0,1,2
2020-W23,9557,0,84.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,23,0,1,2
2020-W24,9557,0,73.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,24,0,1,2
2020-W25,9557,0,86.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,25,1,1,2
2020-W26,9557,0,83.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,26,1,1,2
2020-W27,9557,0,116.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,27,1,1,2
2020-W28,9557,0,93.0,0,1,0,0,10,0,0,0,7,1,0,4694,1,0,0,2020,28,0,1,2
